,time,A_mean,A_std,R_mean,R_std
0,0.0,0.0,0.0,0.0,0.0
1,0.0001,0.806640625,1.2426577498392635,0.0,0.0
2,0.0002,2.8837890625,2.825517521682497,0.0,0.0
3,0.0003,6.119140625,4.652905087304734,0.00390625,0.07648417440560076
4,0.0004,10.1787109375,6.948230285766619,0.0068359375,0.11252087212700973
5,0.0005,15.1533203125,9.839222123473547,0.01171875,0.12451028215244446
6,0.0006,20.9853515625,13.750492047480964,0.025390625,0.2196145288911864
7,0.0007,27.7431640625,18.288324351187295,0.0361328125,0.2609537472406264
8,0.0008,35.3134765625,23.216865604722766,0.0537109375,0.33388892861915576
9,0.0009,44.109375,28.811718147991385,0.068359375,0.3442231592053814
10,0.001,54.0615234375,34.73793979802177,0.0810546875,0.3649776181055303
11,0.0011,65.1650390625,41.61696478559239,0.095703125,0.3462141198224278
12,0.0012,77.1123046875,48.661920304719295,0.1015625,0.32707342959646857
13,0.0013,90.1904296875,55.85116608356863,0.10546875,0.3627436653677337
14,0.0014,104.2548828125,62.934328411884046,0.1171875,0.37769882543773936
15,0.0015,119.4990234375,70.56260435220086,0.1298828125,0.40005569741440294
16,0.0016,136.0224609375,78.5192412391304,0.1513671875,0.4525782401723675
17,0.0017,153.9345703125,86.14198999378232,0.177734375,0.4395549421462582
18,0.0018,173.0810546875,94.60786110392604,0.1875,0.4637388957601683
19,0.0019,193.6455078125,102.48954990162686,0.1953125,0.48328614054836994
20,0.002,215.1025390625,110.01922978365242,0.2021484375,0.49351144056864654
21,0.0021,237.3251953125,117.34732894663605,0.1787109375,0.4380440601904481
22,0.0022,260.61328125,124.73467778844147,0.185546875,0.4707952691817017
23,0.0023,285.048828125,131.97172880176436,0.2109375,0.49477968872161326
24,0.0024,309.8056640625,138.53861740102124,0.21875,0.47105878952282143
25,0.0025,335.71484375,144.9612910018727,0.220703125,0.502312437335427
26,0.0026,362.80859375,150.78595163519958,0.2236328125,0.49807850329273046
27,0.0027,390.5126953125,156.18712564098584,0.2119140625,0.5070515931547038
28,0.0028,418.98046875,161.38820313401473,0.224609375,0.47244693180550346
29,0.0029,447.3701171875,166.44321499471545,0.2177734375,0.49871440142741474
30,0.003,476.1640625,170.6863450445084,0.21875,0.464791652837494
31,0.0031,504.8212890625,173.94405426339227,0.251953125,0.529663658516865
32,0.0032,533.8974609375,176.83113270861875,0.24609375,0.5118196077236978
33,0.0033,562.6669921875,180.01750605741626,0.263671875,0.5029809416991959
34,0.0034,591.53515625,183.0099611473497,0.2255859375,0.4892686588823324
35,0.0035,620.0146484375,185.73779535131823,0.2373046875,0.4877131195056451
36,0.0036,648.900390625,188.38099598404588,0.255859375,0.4893437700316795
37,0.0037,677.34375,189.8673432047762,0.2587890625,0.525424837126774
38,0.0038,706.236328125,190.89653379885183,0.2744140625,0.5503838955585681
39,0.0039,734.71484375,192.10284781640797,0.2724609375,0.5184601971123107
40,0.004,763.8447265625,192.51845403292944,0.287109375,0.5606777805104838
41,0.0041,791.591796875,192.95462463042847,0.251953125,0.5184721649952655
42,0.0042,819.517578125,193.25701889072886,0.2763671875,0.5458347441088228
43,0.0043,846.8779296875,193.25821274897376,0.2861328125,0.5298177317468825
44,0.0044,873.5048828125,192.74757720820864,0.291015625,0.5516148369984911
45,0.0045,900.09375,192.12998359518338,0.3037109375,0.5384038341242628
46,0.0046,926.654296875,191.52709258899918,0.310546875,0.5498121013348047
47,0.0047,952.6640625,190.35246013301256,0.2919921875,0.5642444371769577
48,0.0048,977.9482421875,189.14054278126963,0.3154296875,0.5706371830334164
49,0.0049,1002.177734375,188.14998814106173,0.30859375,0.5491345496922309
50,0.005,1026.5634765625,186.929367254463,0.328125,0.5728886179039946
51,0.0051,1050.11328125,185.010715019214,0.314453125,0.5564393273963603
52,0.0052,1073.0517578125,183.82602132495867,0.33203125,0.5924825374513165
53,0.0053,1095.8369140625,182.40059295278968,0.3076171875,0.5765883633072806
54,0.0054,1117.7841796875,180.61583395640668,0.34375,0.6086698476039446
55,0.0055,1139.572265625,179.45517266283645,0.3466796875,0.5831863053956902
56,0.0056,1160.515625,177.98440228979484,0.33203125,0.5875120888504802
57,0.0057,1181.140625,176.64542675581467,0.36328125,0.600471772003986
58,0.0058,1200.546875,174.6458775674927,0.361328125,0.6176838408310933
59,0.0059,1220.474609375,173.1150554518286,0.3818359375,0.620363268563584
60,0.006,1240.34765625,171.62818206278632,0.369140625,0.6146348475684992
61,0.0061,1259.3740234375,169.58375742110172,0.3779296875,0.6397864463308066
62,0.0062,1278.0927734375,168.46489401262704,0.3994140625,0.6123841270789442
63,0.0063,1295.544921875,166.43289352913004,0.4150390625,0.6607324340466955
64,0.0064,1313.091796875,164.5809910379684,0.3955078125,0.6367833202953371
65,0.0065,1329.2060546875,162.5230069357621,0.42578125,0.6410214348685224
66,0.0066,1345.185546875,160.75598146819996,0.4169921875,0.6399416028598781
67,0.0067,1360.7861328125,159.66183766858202,0.40234375,0.6634092277916109
68,0.0068,1375.923828125,158.01127834634738,0.451171875,0.6860989456313724
69,0.0069,1389.587890625,156.6065859605549,0.4287109375,0.6726001096963474
70,0.007,1403.5771484375,154.6473865901164,0.4150390625,0.666623946654833
71,0.0071,1416.5791015625,153.56657085459878,0.44921875,0.6916336893998191
72,0.0072,1429.0849609375,152.06584469426105,0.4248046875,0.6721741914369518
73,0.0073,1440.7646484375,151.0073256341698,0.431640625,0.6670684349606276
74,0.0074,1452.9013671875,150.2712732367744,0.439453125,0.6560092131457914
75,0.0075,1465.0537109375,149.0755220896886,0.4794921875,0.7167656636284246
76,0.0076,1476.173828125,147.81453551552806,0.4482421875,0.6858839477438784
77,0.0077,1486.849609375,147.12589896573218,0.44921875,0.6859570128371096
78,0.0078,1497.6025390625,147.08643575459183,0.4814453125,0.6833070788205517
79,0.0079,1507.49609375,146.42972279848667,0.4306640625,0.6828990216287081
80,0.008,1517.556640625,146.01220076112907,0.47265625,0.6872916906490217
81,0.0081,1527.0703125,144.93782311193374,0.53125,0.7204592865510948
82,0.0082,1535.1220703125,143.7902572002006,0.5419921875,0.7399996934938337
83,0.0083,1543.4013671875,143.5679955393698,0.53515625,0.7377109022961291
84,0.0084,1551.3818359375,142.82190135102334,0.5478515625,0.747531142384256
