,time,A_mean,A_std,R_mean,R_std
0,0.0,0.0,0.0,0.0,0.0
1,0.0001,0.8017578125,1.2343870835680628,0.0,0.0
2,0.0002,3.0556640625,2.8079323382282446,0.0,0.0
3,0.0003,6.326171875,4.775820759148032,0.0009765625,0.03125
4,0.0004,10.68359375,7.338717767443147,0.0029296875,0.05407365218573471
5,0.0005,15.8525390625,10.612370978687277,0.0078125,0.08808542463560916
6,0.0006,21.626953125,13.919524888162314,0.0126953125,0.13568896977129463
7,0.0007,28.30859375,18.04172649151742,0.021484375,0.1579665002473341
8,0.0008,35.958984375,22.513171497017154,0.0419921875,0.21929045789601156
9,0.0009,44.5634765625,27.29259070433382,0.0595703125,0.2988511906484629
10,0.001,53.984375,32.93059364853549,0.05859375,0.2941003064004336
11,0.0011,64.27734375,38.84320983792658,0.0771484375,0.30458418916106145
12,0.0012,75.9560546875,45.3359030788784,0.0869140625,0.31150103037271787
13,0.0013,88.8349609375,52.382579282765256,0.099609375,0.3535047866213736
14,0.0014,102.7451171875,59.578123183418505,0.119140625,0.384784973467587
15,0.0015,117.6357421875,67.27952757510391,0.1474609375,0.440755370489512
16,0.0016,133.626953125,75.07602856177044,0.142578125,0.41851526627306773
17,0.0017,151.296875,82.95473185211854,0.1416015625,0.40096142209848745
18,0.0018,170.1796875,91.39119688212007,0.1708984375,0.44115370544234717
19,0.0019,189.9013671875,99.58358577252439,0.18359375,0.4568201271217146
20,0.002,210.205078125,107.81911163797675,0.166015625,0.4284338522316198
21,0.0021,231.7509765625,115.44409343367383,0.2060546875,0.4978177803784225
22,0.0022,254.82421875,122.91468545962009,0.193359375,0.4634382572991204
23,0.0023,279.140625,130.45289839594307,0.1962890625,0.46746116397151444
24,0.0024,304.1015625,137.55914905685958,0.2060546875,0.46534073005843757
25,0.0025,330.0439453125,144.10646595917325,0.1796875,0.4365257620782155
26,0.0026,356.4189453125,150.44942536230712,0.21484375,0.49309441950742516
27,0.0027,383.4267578125,156.34642872171136,0.201171875,0.46009752222860245
28,0.0028,411.455078125,162.14561457558327,0.21875,0.47724363361495137
29,0.0029,439.7431640625,167.38727536232938,0.2451171875,0.5226778798809198
30,0.003,468.49609375,172.18560532946273,0.2314453125,0.5042802725586129
31,0.0031,497.7255859375,176.95871549291846,0.236328125,0.49316798015191166
32,0.0032,526.8466796875,180.993567522622,0.22265625,0.4955662410977346
33,0.0033,555.439453125,184.96565490839865,0.2060546875,0.46323531907468035
34,0.0034,584.693359375,187.55796944176495,0.20703125,0.4444832634155087
35,0.0035,613.7236328125,190.18481207749488,0.2421875,0.5098612120204592
36,0.0036,642.7861328125,192.3504209025649,0.2587890625,0.5103243926806822
37,0.0037,671.3544921875,194.23715568454514,0.2451171875,0.49184511658370017
38,0.0038,700.2529296875,195.69839216309586,0.2568359375,0.5016611198962329
39,0.0039,728.1826171875,195.91479996953416,0.2578125,0.5305316502029428
40,0.004,756.39453125,196.21409051117374,0.2373046875,0.4734752870491094
41,0.0041,783.7802734375,197.07346522433286,0.244140625,0.4893437700316795
42,0.0042,810.923828125,197.4868842758702,0.2841796875,0.556050616676622
43,0.0043,837.7705078125,197.67792527268526,0.248046875,0.49136840241461965
44,0.0044,864.556640625,197.58523833391982,0.2841796875,0.5471902020695893
45,0.0045,891.296875,197.08504237921957,0.2626953125,0.5216101855477474
46,0.0046,916.9111328125,196.41300202308494,0.3046875,0.5670467645931697
47,0.0047,942.3740234375,195.2858840002497,0.275390625,0.530902184743476
48,0.0048,967.3154296875,193.41844567739898,0.29296875,0.5558797726155612
49,0.0049,991.6142578125,191.91541247204887,0.3125,0.5487032611687344
50,0.005,1015.919921875,190.07395647022275,0.3076171875,0.5593780461998676
51,0.0051,1038.892578125,188.21337848115388,0.3349609375,0.5748971589255462
52,0.0052,1061.3662109375,186.09885450216248,0.33984375,0.5863670936571639
53,0.0053,1084.0908203125,184.4830047345434,0.30078125,0.5604768384264529
54,0.0054,1106.28125,183.0320789792977,0.3212890625,0.5673555973454377
55,0.0055,1127.857421875,181.70243359133752,0.353515625,0.6030448512505068
56,0.0056,1148.8583984375,180.47425431065437,0.3505859375,0.6119849349003338
57,0.0057,1169.4052734375,178.61550422481602,0.3515625,0.5827744844335112
58,0.0058,1189.6806640625,177.7438670801403,0.341796875,0.5768176199766635
59,0.0059,1209.005859375,175.84208781839493,0.3662109375,0.618760861205858
60,0.006,1228.408203125,174.09780672384846,0.3564453125,0.5873357684699975
61,0.0061,1247.3310546875,172.3959807148313,0.376953125,0.6456835351138409
62,0.0062,1265.5419921875,171.15126301950843,0.4091796875,0.6731505643211224
63,0.0063,1283.298828125,169.77422348091352,0.3583984375,0.5960670819753134
64,0.0064,1300.3291015625,168.08763393274342,0.38671875,0.6196989265206063
65,0.0065,1317.869140625,166.90680978420244,0.408203125,0.6478561485379575
66,0.0066,1333.869140625,165.3027391388515,0.423828125,0.6513829139879139
67,0.0067,1349.40234375,163.74881890696554,0.4287109375,0.6608711174342156
68,0.0068,1364.5634765625,162.39025280864777,0.4140625,0.6576398899313625
69,0.0069,1378.9111328125,160.8388534137039,0.4453125,0.6697904575962538
70,0.007,1392.4873046875,158.7590803276212,0.4326171875,0.644815845055549
71,0.0071,1405.669921875,157.69620258729543,0.45703125,0.6822060236109224
72,0.0072,1418.9560546875,156.5080612556019,0.46484375,0.6940146111915869
73,0.0073,1432.4169921875,155.4375998686251,0.4482421875,0.6567618331714722
74,0.0074,1444.73046875,153.99186738048994,0.4521484375,0.6833126669531823
75,0.0075,1456.6474609375,152.2810134940358,0.4609375,0.6591246157154451
